product_id,product_name,category,subcategory,brand,sku,mrp,selling_price,cost_price,gst_rate,hsn_code,weight_grams,supplier_id,rating,review_count,is_active,launch_date
PRD0018,Infosys Laptop Ultra,Electronics,Laptop,Infosys,SKU-ELE-00018,178899,138674,89397,18,3848,2000,SUP0088,4.3,2997,1,30-11-2021
PRD0019,Orient Laptop Standard,Electronics,Laptop,Orient,SKU-ELE-00019,75835,60431,37570,18,8898,100,SUP0153,4.1,1143,1,08-10-2022
PRD0020,Berger Laptop Standard,Electronics,Laptop,Berger,SKU-ELE-00020,65780,57447,37369,18,2938,750,SUP0057,3.9,2710,1,06-03-2024
PRD0021,boAt Tablet Pro,Electronics,Tablet,boAt,SKU-ELE-00021,73101,57234,32103,18,3095,500,SUP0173,3.4,4204,1,08-09-2024
PRD0022,ITC Tablet Base,Electronics,Tablet,ITC,SKU-ELE-00022,95959,69701,51739,18,1305,1000,SUP0157,4.8,1779,1,14-02-2024
PRD0023,Dabur Tablet Base,Electronics,Tablet,Dabur,SKU-ELE-00023,140417,109680,72927,18,5333,500,SUP0057,4.4,2812,0,27-10-2024
PRD0024,Dabur Tablet Pro,Electronics,Tablet,Dabur,SKU-ELE-00024,122955,101145,55689,18,9263,2000,SUP0047,4.6,4965,1,23-02-2024
PRD0025,Mahindra Tablet Plus,Electronics,Tablet,Mahindra,SKU-ELE-00025,176779,141311,87691,18,3135,5000,SUP0047,4.6,3539,1,22-07-2023
PRD0026,Pebble Tablet Premium,Electronics,Tablet,Pebble,SKU-ELE-00026,133772,114448,67253,18,2600,2000,SUP0198,3.4,3913,1,12-12-2021
PRD0027,Crossbeats Tablet Pro,Electronics,Tablet,Crossbeats,SKU-ELE-00027,128476,109124,70330,18,2930,5000,SUP0001,3.2,1687,1,01-04-2023
PRD0028,Infosys Tablet Ultra,Electronics,Tablet,Infosys,SKU-ELE-00028,52273,42574,30386,18,7939,1500,SUP0088,4.2,3260,1,18-10-2023
PRD0029,Mivi Tablet Ultra,Electronics,Tablet,Mivi,SKU-ELE-00029,148211,128476,95987,18,6641,2000,SUP0198,4.5,980,1,25-12-2023
PRD0030,Infosys Tablet Elite,Electronics,Tablet,Infosys,SKU-ELE-00030,72918,58218,38045,18,1852,500,SUP0140,3.9,48,1,17-04-2022
PRD0031,Ambrane Smart TV Max,Electronics,Smart TV,Ambrane,SKU-ELE-00031,130814,116131,68831,18,1618,2000,SUP0088,4.8,3287,1,26-05-2024
PRD0032,Ambrane Smart TV Classic,Electronics,Smart TV,Ambrane,SKU-ELE-00032,23610,17063,10404,18,4304,5000,SUP0057,3.7,280,1,04-05-2024
PRD0033,Dabur Smart TV Max,Electronics,Smart TV,Dabur,SKU-ELE-00033,60458,46428,30816,18,3579,250,SUP0153,4.9,3277,1,11-09-2023
PRD0034,Hero Smart TV Plus,Electronics,Smart TV,Hero,SKU-ELE-00034,152130,137723,87784,18,6703,1500,SUP0029,4.8,2270,1,27-07-2022
PRD0035,Finolex Smart TV Elite,Electronics,Smart TV,Finolex,SKU-ELE-00035,3793,3219,1695,18,2185,5000,SUP0173,3.7,963,1,03-12-2022
PRD0036,Zebronics Smart TV Base,Electronics,Smart TV,Zebronics,SKU-ELE-00036,88402,67573,41956,18,4985,1500,SUP0157,4.8,3763,1,07-10-2024
PRD0037,Wipro Smart TV Max,Electronics,Smart TV,Wipro,SKU-ELE-00037,77953,69585,48712,18,7757,1500,SUP0070,4.1,84,1,15-12-2022
PRD0038,Amul Smart TV Plus,Electronics,Smart TV,Amul,SKU-ELE-00038,138774,106577,68064,18,3924,3000,SUP0140,3.7,1795,1,27-12-2022
PRD0039,Hero Smart TV Max,Electronics,Smart TV,Hero,SKU-ELE-00039,175458,132809,95381,18,4387,750,SUP0070,3.5,2050,1,23-06-2023
PRD0040,Infosys Smart TV Base,Electronics,Smart TV,Infosys,SKU-ELE-00040,45994,33425,16767,18,9871,100,SUP0198,4.6,3045,1,28-03-2024
PRD0041,Berger Headphones Premium,Electronics,Headphones,Berger,SKU-ELE-00041,150895,130661,72585,18,3101,100,SUP0088,4.1,3471,1,05-07-2024
PRD0042,Crompton Headphones Classic,Electronics,Headphones,Crompton,SKU-ELE-00042,142887,105210,78289,18,9490,3000,SUP0057,3.7,73,1,29-08-2022
PRD0043,Infosys Headphones Lite,Electronics,Headphones,Infosys,SKU-ELE-00043,105513,87311,55629,18,4885,1000,SUP0088,4.0,2815,1,10-04-2024
PRD0044,Polycab Headphones Ultra,Electronics,Headphones,Polycab,SKU-ELE-00044,120466,99598,61021,18,3148,750,SUP0157,4.6,2216,1,04-08-2024
PRD0045,Orient Headphones Classic,Electronics,Headphones,Orient,SKU-ELE-00045,61071,53396,37452,18,3893,2000,SUP0055,4.0,4240,1,01-04-2023
PRD0046,Pidilite Headphones Premium,Electronics,Headphones,Pidilite,SKU-ELE-00046,202765,149361,78376,18,3676,100,SUP0007,3.6,2088,1,03-01-2025
PRD0047,Havells Headphones Standard,Electronics,Headphones,Havells,SKU-ELE-00047,84696,70096,35395,18,2986,1500,SUP0088,4.7,4965,1,15-09-2024
PRD0048,Crossbeats Headphones Standard,Electronics,Headphones,Crossbeats,SKU-ELE-00048,66560,47754,27758,18,9363,3000,SUP0113,4.5,3666,1,13-08-2023
PRD0049,Syska Headphones Premium,Electronics,Headphones,Syska,SKU-ELE-00049,54379,39971,26293,18,7631,250,SUP0140,3.3,2819,1,03-04-2023
PRD0050,Berger Headphones Standard,Electronics,Headphones,Berger,SKU-ELE-00050,124831,105666,72589,18,9535,3000,SUP0197,3.9,1511,1,07-03-2022
PRD0051,Pidilite Bluetooth Speaker Plus,Electronics,Bluetooth Speaker,Pidilite,SKU-ELE-00051,26738,22988,12043,18,8752,5000,SUP0157,3.3,3257,1,11-12-2021
PRD0052,Gizmore Bluetooth Speaker Ultra,Electronics,Bluetooth Speaker,Gizmore,SKU-ELE-00052,48054,42704,23800,18,5655,3000,SUP0157,4.3,1080,1,08-06-2022
PRD0053,Crompton Bluetooth Speaker Elite,Electronics,Bluetooth Speaker,Crompton,SKU-ELE-00053,118595,87249,64015,18,9987,3000,SUP0197,3.4,4422,1,29-10-2024
PRD0054,Zebronics Bluetooth Speaker Standard,Electronics,Bluetooth Speaker,Zebronics,SKU-ELE-00054,145849,116026,71984,18,4721,250,SUP0113,4.0,3001,1,08-05-2022
PRD0055,Reliance Bluetooth Speaker Standard,Electronics,Bluetooth Speaker,Reliance,SKU-ELE-00055,187148,139184,79570,18,9767,100,SUP0055,4.4,4034,0,26-02-2024
PRD0056,Bajaj Electricals Bluetooth Speaker Elite,Electronics,Bluetooth Speaker,Bajaj Electricals,SKU-ELE-00056,100776,78787,46753,18,7745,5000,SUP0001,3.9,2052,1,05-02-2025
PRD0057,Orient Bluetooth Speaker Max,Electronics,Bluetooth Speaker,Orient,SKU-ELE-00057,70528,59826,37639,18,5454,1000,SUP0173,4.3,4362,1,17-10-2023
PRD0058,HDFC Bluetooth Speaker Classic,Electronics,Bluetooth Speaker,HDFC,SKU-ELE-00058,56839,49816,32601,18,5458,3000,SUP0047,3.5,163,1,23-06-2024
PRD0059,Infosys Bluetooth Speaker Pro,Electronics,Bluetooth Speaker,Infosys,SKU-ELE-00059,89683,75954,42397,18,3468,100,SUP0197,4.0,2805,1,09-04-2024
PRD0060,Mahindra Bluetooth Speaker Pro,Electronics,Bluetooth Speaker,Mahindra,SKU-ELE-00060,99560,88572,50187,18,7429,250,SUP0055,4.1,1492,1,18-11-2022
PRD0061,Reliance Power Bank Premium,Electronics,Power Bank,Reliance,SKU-ELE-00061,47300,33971,23535,18,8257,750,SUP0070,4.5,279,1,02-01-2022
PRD0062,Godrej Power Bank Standard,Electronics,Power Bank,Godrej,SKU-ELE-00062,153245,125948,67968,18,1691,5000,SUP0113,4.1,2080,1,25-02-2023
PRD0063,Bajaj Power Bank Premium,Electronics,Power Bank,Bajaj,SKU-ELE-00063,82253,59091,34339,18,3742,1000,SUP0070,4.2,3247,1,12-07-2021
PRD0064,boAt Power Bank Max,Electronics,Power Bank,boAt,SKU-ELE-00064,51642,42630,22995,18,2497,1500,SUP0029,4.8,496,1,03-02-2025
PRD0065,Crossbeats Power Bank Standard,Electronics,Power Bank,Crossbeats,SKU-ELE-00065,34305,30152,22475,18,6690,3000,SUP0070,4.4,179,1,27-06-2023
PRD0066,Pidilite Power Bank Elite,Electronics,Power Bank,Pidilite,SKU-ELE-00066,15384,12351,7085,18,9029,750,SUP0197,4.2,4458,1,08-02-2024
PRD0067,Ambrane Power Bank Classic,Electronics,Power Bank,Ambrane,SKU-ELE-00067,169189,147364,84574,18,5314,5000,SUP0055,3.8,10,1,25-04-2024
PRD0068,Maruti Power Bank Base,Electronics,Power Bank,Maruti,SKU-ELE-00068,8881,6907,3865,18,2037,5000,SUP0153,4.6,1560,1,07-04-2024
PRD0069,Gizmore Power Bank Plus,Electronics,Power Bank,Gizmore,SKU-ELE-00069,91218,76220,39944,18,2092,100,SUP0140,4.6,1068,1,27-08-2021
PRD0070,Noise Power Bank Classic,Electronics,Power Bank,Noise,SKU-ELE-00070,59001,52231,32981,18,5193,100,SUP0157,3.8,4968,1,20-07-2021
PRD0071,Noise Smartwatch Standard,Electronics,Smartwatch,Noise,SKU-ELE-00071,28479,22960,14683,18,7814,1500,SUP0007,4.6,482,1,20-12-2022
PRD0072,HDFC Smartwatch Elite,Electronics,Smartwatch,HDFC,SKU-ELE-00072,91742,81666,42815,18,4784,5000,SUP0068,3.9,1587,1,15-11-2022
PRD0073,Maruti Smartwatch Plus,Electronics,Smartwatch,Maruti,SKU-ELE-00073,196576,148387,102620,18,6864,3000,SUP0173,4.4,3503,1,31-05-2022
PRD0074,Finolex Smartwatch Elite,Electronics,Smartwatch,Finolex,SKU-ELE-00074,161330,134302,100673,18,8258,1500,SUP0057,4.7,4511,0,19-04-2023
PRD0075,Bajaj Electricals Smartwatch Premium,Electronics,Smartwatch,Bajaj Electricals,SKU-ELE-00075,111310,86790,60008,18,5162,1500,SUP0068,4.8,3670,0,24-06-2021
PRD0076,Asian Paints Smartwatch Pro,Electronics,Smartwatch,Asian Paints,SKU-ELE-00076,7874,6273,3607,18,4635,750,SUP0113,4.7,182,1,06-05-2025
PRD0077,Mivi Smartwatch Plus,Electronics,Smartwatch,Mivi,SKU-ELE-00077,172330,136026,69296,18,6827,500,SUP0055,3.4,3012,1,17-11-2022
PRD0078,Titan Smartwatch Plus,Electronics,Smartwatch,Titan,SKU-ELE-00078,33166,26092,17765,18,8905,500,SUP0068,4.0,4725,1,05-01-2022
PRD0079,Titan Smartwatch Plus,Electronics,Smartwatch,Titan,SKU-ELE-00079,15561,11796,8198,18,6478,1500,SUP0157,4.7,3562,1,25-02-2022
PRD0080,Ambrane Smartwatch Pro,Electronics,Smartwatch,Ambrane,SKU-ELE-00080,6446,4997,2879,18,1674,1500,SUP0157,4.1,1230,1,23-05-2025
PRD0081,Bajaj Camera Max,Electronics,Camera,Bajaj,SKU-ELE-00081,146075,104991,63832,18,7460,500,SUP0029,3.4,681,1,02-10-2021
PRD0082,Pidilite Camera Lite,Electronics,Camera,Pidilite,SKU-ELE-00082,29637,24302,16780,18,8879,5000,SUP0173,3.5,3243,1,30-07-2022
PRD0083,Pebble Camera Premium,Electronics,Camera,Pebble,SKU-ELE-00083,78043,66551,38656,18,2467,250,SUP0088,4.3,3474,1,19-07-2022
PRD0084,Ambrane Camera Standard,Electronics,Camera,Ambrane,SKU-ELE-00084,11106,8345,5458,18,8245,500,SUP0057,3.9,1917,1,29-07-2023
PRD0085,Amul Camera Base,Electronics,Camera,Amul,SKU-ELE-00085,41582,31457,23016,18,5713,100,SUP0070,3.8,916,1,13-02-2024
PRD0086,Godrej Camera Elite,Electronics,Camera,Godrej,SKU-ELE-00086,166429,143034,88789,18,3315,100,SUP0088,3.8,4320,1,07-06-2022
PRD0087,Hero Camera Plus,Electronics,Camera,Hero,SKU-ELE-00087,81589,73114,43660,18,5445,1500,SUP0001,4.7,161,1,12-02-2025
PRD0088,Orient Camera Standard,Electronics,Camera,Orient,SKU-ELE-00088,188484,135310,84049,18,9709,250,SUP0047,3.5,4106,0,15-08-2024
PRD0089,Mahindra Camera Standard,Electronics,Camera,Mahindra,SKU-ELE-00089,92033,66852,41614,18,3572,100,SUP0113,3.8,2887,1,05-03-2023
PRD0090,Berger Camera Pro,Electronics,Camera,Berger,SKU-ELE-00090,23507,18255,13436,18,5590,750,SUP0157,3.5,3223,1,20-12-2021
PRD0091,Pebble Router Premium,Electronics,Router,Pebble,SKU-ELE-00091,75494,61618,45759,18,6395,3000,SUP0055,4.1,1698,1,25-09-2024
PRD0092,Hero Router Premium,Electronics,Router,Hero,SKU-ELE-00092,45565,38204,28611,18,3378,500,SUP0055,3.7,4570,1,21-02-2022
PRD0093,Hindusta Unilever Router Premium,Electronics,Router,Hindusta Unilever,SKU-ELE-00093,12934,9728,5601,18,5485,500,SUP0173,4.5,879,1,16-08-2021
PRD0094,Berger Router Pro,Electronics,Router,Berger,SKU-ELE-00094,79972,62532,36882,18,8808,500,SUP0070,4.1,4958,1,13-02-2025
PRD0095,Orient Router Max,Electronics,Router,Orient,SKU-ELE-00095,162509,130829,72815,18,7694,100,SUP0057,4.8,3388,1,29-03-2025
PRD0096,Godrej Router Base,Electronics,Router,Godrej,SKU-ELE-00096,22297,19337,12037,18,6323,3000,SUP0197,4.7,3507,1,17-09-2021
PRD0097,Orient Router Elite,Electronics,Router,Orient,SKU-ELE-00097,102361,84024,44308,18,8485,100,SUP0007,4.7,2017,1,12-09-2023
PRD0098,Mivi Router Max,Electronics,Router,Mivi,SKU-ELE-00098,129943,103554,59315,18,7521,1000,SUP0007,4.5,2347,1,06-11-2023
PRD0099,Bajaj Router Classic,Electronics,Router,Bajaj,SKU-ELE-00099,188554,137520,71869,18,9202,250,SUP0197,3.5,4800,0,19-05-2025
PRD0100,Finolex Router Lite,Electronics,Router,Finolex,SKU-ELE-00100,132167,110412,67728,18,4308,3000,SUP0001,3.4,2659,1,20-06-2025
PRD0101,Wipro Men Kurta Standard,Fashion,Men Kurta,Wipro,SKU-FAS-00101,2033,1793,934,5,7292,5000,SUP0123,4.2,1314,1,12-08-2023
PRD0102,ITC Men Kurta Lite,Fashion,Men Kurta,ITC,SKU-FAS-00102,7351,5790,3129,5,3369,500,SUP0164,4.5,425,1,19-03-2023
PRD0103,V-Guard Men Kurta Lite,Fashion,Men Kurta,V-Guard,SKU-FAS-00103,6478,5030,3722,5,1057,1000,SUP0026,3.2,4081,1,11-07-2024
PRD0104,Noise Men Kurta Classic,Fashion,Men Kurta,Noise,SKU-FAS-00104,4888,4196,2573,5,8239,250,SUP0164,4.2,58,1,18-07-2024
PRD0105,Mivi Men Kurta Lite,Fashion,Men Kurta,Mivi,SKU-FAS-00105,18508,13735,7376,5,6718,100,SUP0006,3.4,270,1,10-11-2024
PRD0106,Amul Men Kurta Lite,Fashion,Men Kurta,Amul,SKU-FAS-00106,1248,1102,736,5,3906,3000,SUP0053,4.5,2955,0,31-12-2021
PRD0107,Usha Men Kurta Premium,Fashion,Men Kurta,Usha,SKU-FAS-00107,8758,6507,4625,5,2063,1000,SUP0172,4.0,1004,1,07-01-2023
PRD0108,Polycab Men Kurta Base,Fashion,Men Kurta,Polycab,SKU-FAS-00108,10343,8894,4576,5,9666,250,SUP0058,4.0,4959,0,10-06-2025
PRD0109,Ambrane Men Kurta Base,Fashion,Men Kurta,Ambrane,SKU-FAS-00109,16955,14189,10624,5,6797,500,SUP0139,4.2,4071,1,08-01-2025
PRD0110,Maruti Men Kurta Ultra,Fashion,Men Kurta,Maruti,SKU-FAS-00110,18954,14776,11005,5,1025,250,SUP0169,3.2,971,1,22-08-2022
PRD0111,Polycab Women Saree Max,Fashion,Women Saree,Polycab,SKU-FAS-00111,1252,1044,524,5,4296,1000,SUP0146,3.6,560,1,26-04-2024
PRD0112,Reliance Women Saree Premium,Fashion,Women Saree,Reliance,SKU-FAS-00112,2825,2164,1473,5,1477,500,SUP0090,3.5,2773,0,01-03-2024
PRD0113,Mahindra Women Saree Classic,Fashion,Women Saree,Mahindra,SKU-FAS-00113,12407,10877,7864,5,9797,1500,SUP0046,4.0,3396,0,16-10-2021
PRD0114,Zebronics Women Saree Elite,Fashion,Women Saree,Zebronics,SKU-FAS-00114,15870,12176,6144,5,6434,1500,SUP0146,3.3,1228,1,26-08-2021
PRD0115,Crossbeats Women Saree Premium,Fashion,Women Saree,Crossbeats,SKU-FAS-00115,16212,14100,7710,5,2914,1000,SUP0156,4.4,2581,1,01-01-2023
PRD0116,Noise Women Saree Ultra,Fashion,Women Saree,Noise,SKU-FAS-00116,17180,14668,8126,5,5953,500,SUP0123,3.4,311,1,30-12-2021
PRD0117,Tata Women Saree Lite,Fashion,Women Saree,Tata,SKU-FAS-00117,16667,13390,7331,5,8921,5000,SUP0139,3.7,2686,1,11-01-2022
PRD0118,HCL Women Saree Premium,Fashion,Women Saree,HCL,SKU-FAS-00118,4821,3660,2483,5,9558,250,SUP0123,3.2,365,1,23-10-2024
PRD0119,Syska Women Saree Ultra,Fashion,Women Saree,Syska,SKU-FAS-00119,16559,14867,7517,5,6114,750,SUP0139,3.7,1582,1,18-06-2024
PRD0120,V-Guard Women Saree Lite,Fashion,Women Saree,V-Guard,SKU-FAS-00120,12822,11294,6419,5,1249,5000,SUP0046,4.1,1697,1,23-07-2024
PRD0121,Hindusta Unilever Jeans Max,Fashion,Jeans,Hindusta Unilever,SKU-FAS-00121,15878,11839,6426,5,6101,1500,SUP0147,4.1,420,1,13-02-2024
PRD0122,Infosys Jeans Premium,Fashion,Jeans,Infosys,SKU-FAS-00122,7347,6583,3586,5,8304,1500,SUP0121,3.7,1628,1,28-03-2025
PRD0123,Syska Jeans Classic,Fashion,Jeans,Syska,SKU-FAS-00123,10940,9601,5033,5,6085,3000,SUP0188,4.0,1838,1,08-12-2024
PRD0124,Usha Jeans Standard,Fashion,Jeans,Usha,SKU-FAS-00124,7763,6722,4686,5,6320,3000,SUP0164,4.0,540,1,13-06-2023
PRD0125,ITC Jeans Base,Fashion,Jeans,ITC,SKU-FAS-00125,6549,4923,2618,5,2686,2000,SUP0156,4.6,881,1,13-02-2025
PRD0126,Titan Jeans Premium,Fashion,Jeans,Titan,SKU-FAS-00126,11178,9027,5051,5,4992,5000,SUP0147,3.5,3956,1,22-05-2023
PRD0127,Portronics Jeans Base,Fashion,Jeans,Portronics,SKU-FAS-00127,9830,7362,5130,5,9921,750,SUP0121,3.5,643,1,20-06-2025
PRD0128,Noise Jeans Standard,Fashion,Jeans,Noise,SKU-FAS-00128,2775,2172,1387,5,8294,500,SUP0123,3.7,3329,1,01-02-2022
PRD0129,Ambrane Jeans Classic,Fashion,Jeans,Ambrane,SKU-FAS-00129,17411,12936,8553,5,2007,250,SUP0090,3.6,1143,1,16-01-2025
PRD0130,Hindusta Unilever Jeans Ultra,Fashion,Jeans,Hindusta Unilever,SKU-FAS-00130,12736,11126,6647,5,8326,750,SUP0146,3.5,2598,1,15-04-2025
PRD0131,Bajaj Electricals T-Shirt Plus,Fashion,T-Shirt,Bajaj Electricals,SKU-FAS-00131,16819,12059,7786,5,9362,2000,SUP0104,4.6,2414,1,22-07-2024
PRD0132,Mivi T-Shirt Ultra,Fashion,T-Shirt,Mivi,SKU-FAS-00132,19156,13746,9847,5,4854,2000,SUP0026,4.4,3234,1,20-06-2025
PRD0133,Orient T-Shirt Lite,Fashion,T-Shirt,Orient,SKU-FAS-00133,9386,7429,4596,5,4083,5000,SUP0164,3.9,2956,1,05-05-2022
PRD0134,HCL T-Shirt Pro,Fashion,T-Shirt,HCL,SKU-FAS-00134,2757,2499,1339,5,8974,2000,SUP0162,4.9,1117,1,29-01-2025
PRD0135,Syska T-Shirt Premium,Fashion,T-Shirt,Syska,SKU-FAS-00135,19968,14939,9797,5,8444,5000,SUP0156,3.9,3691,1,29-09-2022
PRD0136,Ambrane T-Shirt Max,Fashion,T-Shirt,Ambrane,SKU-FAS-00136,534,420,284,5,5411,2000,SUP0191,4.8,4726,1,09-09-2021
PRD0137,Usha T-Shirt Plus,Fashion,T-Shirt,Usha,SKU-FAS-00137,2743,2153,1152,5,9624,1000,SUP0169,4.0,645,1,24-11-2024
PRD0138,boAt T-Shirt Plus,Fashion,T-Shirt,boAt,SKU-FAS-00138,14059,10631,7133,5,9834,1000,SUP0164,4.2,2819,1,16-07-2021
PRD0139,Fire-Boltt T-Shirt Premium,Fashion,T-Shirt,Fire-Boltt,SKU-FAS-00139,10159,7986,4697,5,5827,1000,SUP0090,3.5,4900,1,21-08-2024
PRD0140,boAt T-Shirt Ultra,Fashion,T-Shirt,boAt,SKU-FAS-00140,11243,9771,6861,5,1447,1000,SUP0006,4.0,1043,1,14-01-2023
PRD0141,Gizmore Ethnic Dress Pro,Fashion,Ethnic Dress,Gizmore,SKU-FAS-00141,5796,4902,3359,5,3860,500,SUP0082,4.3,3034,1,11-12-2022
PRD0142,Noise Ethnic Dress Pro,Fashion,Ethnic Dress,Noise,SKU-FAS-00142,4369,3261,1910,5,2382,500,SUP0191,4.2,1267,1,17-10-2023
PRD0143,V-Guard Ethnic Dress Base,Fashion,Ethnic Dress,V-Guard,SKU-FAS-00143,15744,12193,8335,5,6653,100,SUP0058,4.3,955,1,30-01-2024
PRD0144,Titan Ethnic Dress Elite,Fashion,Ethnic Dress,Titan,SKU-FAS-00144,10725,8102,4524,5,7390,3000,SUP0172,3.6,4350,1,18-07-2021
PRD0145,V-Guard Ethnic Dress Pro,Fashion,Ethnic Dress,V-Guard,SKU-FAS-00145,8547,6557,3438,5,9704,1500,SUP0139,4.8,3542,1,18-02-2025
PRD0146,Berger Ethnic Dress Base,Fashion,Ethnic Dress,Berger,SKU-FAS-00146,6266,4674,2794,5,4961,750,SUP0082,4.1,1478,1,15-07-2021
PRD0147,HDFC Ethnic Dress Plus,Fashion,Ethnic Dress,HDFC,SKU-FAS-00147,604,494,331,5,6759,750,SUP0139,4.4,2068,1,11-08-2021
PRD0148,Bajaj Ethnic Dress Max,Fashion,Ethnic Dress,Bajaj,SKU-FAS-00148,13012,10033,7400,5,2995,250,SUP0188,3.3,4958,1,27-02-2025
PRD0149,Maruti Ethnic Dress Ultra,Fashion,Ethnic Dress,Maruti,SKU-FAS-00149,16975,14979,8592,5,2240,3000,SUP0053,4.8,2269,1,11-05-2025
PRD0150,Voltas Ethnic Dress Ultra,Fashion,Ethnic Dress,Voltas,SKU-FAS-00150,5185,4515,3134,5,7271,2000,SUP0011,3.8,497,1,18-12-2022
PRD0151,HDFC Formal Shirt Base,Fashion,Formal Shirt,HDFC,SKU-FAS-00151,11645,8355,4997,5,9061,250,SUP0058,3.4,3537,1,31-01-2025
PRD0152,V-Guard Formal Shirt Plus,Fashion,Formal Shirt,V-Guard,SKU-FAS-00152,14155,12020,6221,5,5105,3000,SUP0006,3.2,4082,1,25-01-2025
PRD0153,Mahindra Formal Shirt Standard,Fashion,Formal Shirt,Mahindra,SKU-FAS-00153,13616,11187,8123,5,1060,5000,SUP0046,4.4,4024,1,29-09-2023
PRD0154,HDFC Formal Shirt Classic,Fashion,Formal Shirt,HDFC,SKU-FAS-00154,10682,9148,4851,5,9770,1500,SUP0117,3.8,2485,1,08-01-2025
PRD0155,Usha Formal Shirt Plus,Fashion,Formal Shirt,Usha,SKU-FAS-00155,12282,9058,6433,5,5750,750,SUP0090,3.5,327,0,08-03-2025
PRD0156,Orient Formal Shirt Standard,Fashion,Formal Shirt,Orient,SKU-FAS-00156,16964,14986,9315,5,8175,750,SUP0169,3.4,1586,1,20-10-2024
PRD0157,Orient Formal Shirt Ultra,Fashion,Formal Shirt,Orient,SKU-FAS-00157,1780,1331,831,5,8361,100,SUP0162,3.3,464,1,19-09-2021
PRD0158,Godrej Formal Shirt Classic,Fashion,Formal Shirt,Godrej,SKU-FAS-00158,17526,13522,9938,5,9791,500,SUP0139,4.5,1913,0,07-09-2021
PRD0159,Noise Formal Shirt Pro,Fashion,Formal Shirt,Noise,SKU-FAS-00159,12175,11011,6173,5,3138,100,SUP0156,3.5,414,1,09-01-2022
PRD0160,ITC Formal Shirt Plus,Fashion,Formal Shirt,ITC,SKU-FAS-00160,17863,13985,7391,5,4613,250,SUP0188,4.6,3496,1,13-04-2025
PRD0161,Wipro Lehenga Standard,Fashion,Lehenga,Wipro,SKU-FAS-00161,14645,11507,8159,5,4493,100,SUP0046,4.2,2753,1,05-01-2023
PRD0162,Polycab Lehenga Lite,Fashion,Lehenga,Polycab,SKU-FAS-00162,3994,3052,1860,5,1666,500,SUP0146,3.4,3086,1,26-07-2021
